# 20k,40k
8.981499999999999773e+02,8.977999999999999545e+02
8.973500000000000227e+02,8.943500000000000227e+02
8.972999999999999545e+02,8.937749999999999773e+02
8.997999999999999545e+02,8.946250000000000000e+02
8.963500000000000227e+02,8.963250000000000455e+02
9.000499999999999545e+02,8.958999999999999773e+02
8.977500000000000000e+02,8.967999999999999545e+02
8.997999999999999545e+02,8.981749999999999545e+02
8.982999999999999545e+02,8.947749999999999773e+02
8.995499999999999545e+02,8.939750000000000227e+02
8.987500000000000000e+02,8.871000000000000227e+02
8.972999999999999545e+02,8.874500000000000455e+02
9.020000000000000000e+02,8.876749999999999545e+02
8.984500000000000455e+02,8.870000000000000000e+02
8.993999999999999773e+02,8.895750000000000455e+02
8.972000000000000455e+02,8.890750000000000455e+02
8.962000000000000455e+02,8.868750000000000000e+02
9.005499999999999545e+02,8.867000000000000455e+02
8.982000000000000455e+02,8.873500000000000227e+02
8.984500000000000455e+02,8.867250000000000227e+02
