# 20k,40k
1.009294991147588361e+00,9.141657033996496429e-01
9.970309851598937456e-01,8.441698969857709400e-01
1.005768756633645289e+00,8.896954470758083877e-01
1.007460955811989800e+00,8.958891263182490183e-01
1.001073811968133054e+00,9.169488714818415653e-01
9.989764285995450521e-01,8.999162949890555652e-01
9.920913927754346773e-01,9.012131408197900928e-01
1.003879898706358187e+00,8.675214285617738330e-01
1.006414056631049103e+00,8.545766009025405063e-01
1.001072580098224085e+00,8.936277817257269884e-01
1.006006188605468754e+00,9.114738183307039554e-01
9.957926343184677620e-01,8.951793115598629669e-01
1.005198414856073530e+00,8.352940121839378396e-01
1.001038739719666060e+00,9.001670564471702107e-01
9.927744174660062537e-01,9.408118649558264712e-01
1.001545509746572193e+00,8.902776364348005123e-01
1.002137442032506431e+00,8.751400938872485602e-01
1.006361900747545723e+00,8.406127200711823733e-01
1.002138514307429062e+00,9.534396452275183398e-01
1.004912086287283568e+00,8.641045028090245106e-01
