# 20k,40k
8.463265000908243296e-01,7.862078455761104534e-01
7.986366208060238225e-01,7.599294047300282351e-01
8.071362512029790492e-01,7.912529696569537974e-01
8.111579858250964614e-01,8.055447541476811191e-01
8.125352551616044083e-01,8.077501397515578496e-01
8.003853546133931074e-01,7.769008169017298515e-01
7.940498552992408809e-01,7.887711964825975253e-01
8.113255012067743799e-01,7.842604995679242075e-01
8.075981774532342561e-01,7.719487995276874681e-01
8.046510055722740917e-01,7.854069021855083488e-01
8.138125559591610214e-01,7.954605270677346240e-01
8.039257711848510901e-01,7.937422652563823622e-01
8.108450785674794492e-01,7.755925623246250344e-01
8.049080330926380311e-01,7.881784914744731640e-01
7.953774909733690723e-01,8.010591335510801603e-01
8.071011191944725827e-01,7.945886425881959481e-01
8.020835377972730384e-01,7.875816630246496031e-01
8.224335678812020323e-01,7.775299726713996717e-01
8.215469390372577285e-01,8.083407348958202565e-01
8.108753091827528570e-01,7.901108710637312349e-01
