# 20k,40k
8.817195335725449556e-01,7.874929808614993254e-01
8.326835738078833815e-01,7.612939863690963982e-01
8.416860857242755012e-01,7.924401777136692582e-01
8.428304884330204416e-01,8.070128746290952115e-01
8.478825527876955315e-01,8.087887405580745925e-01
8.320525627505303001e-01,7.782124460009046674e-01
8.272106983915908929e-01,7.901240400193759728e-01
8.437532996340463276e-01,7.853740881248845174e-01
8.409974572767587864e-01,7.731484734478022425e-01
8.367655808154861319e-01,7.869015920658334329e-01
8.465747361507536262e-01,8.363153332001477258e-01
8.383381796480379178e-01,8.341099840601157167e-01
8.408730529688989153e-01,8.148539655723244790e-01
8.379165976860124543e-01,8.289857292783795462e-01
8.269383381927463139e-01,8.401220322944312757e-01
8.414620939946156897e-01,8.330321666938962366e-01
8.372093267826005158e-01,8.281249819178704286e-01
8.544989440788884894e-01,8.179239818896307801e-01
8.556657783912818838e-01,8.496897730503617518e-01
8.440347839887594183e-01,8.307376515285423979e-01
